1000020360	VIVO	MG	Vicosa	Silvestre	RUA SEBASTIAO SOARES, S N,	-2.072.194	-4.286.167	3171303	Greenfield 	2G - 3G - 4G	700 - 850 - 900 - 1800 - 2100 - 2500
1000020646	TIM	CE	Pacoti	RURAL	RODOVIA CE 065, S N,	-422.667	-3.892.472	2309805	Greenfield 	2G - 3G - 4G	700 - 850 - 1800 - 2100
1000020921	VIVO	RJ	Macae	SERRINHA	RODOVIA BR 101 FAZENDA SAO LUIZ GONZAGA, S N,	-22.243.547	-4.180.767	3302403	Greenfield 	3G - 4G	700 - 850 - 1800 - 2100
1000021154	TIM	SP	Sorocaba	WANEL VILLE	RUA VALMIR VITORIO SEGURA, 150,	-234.955	-47.508.694	3552205	Nao Informada	2G - 3G - 4G - 5G	700 - 900 - 1800 - 2100 - 2500 - 3500
1000021405	TIM	BA	Prado	Cumuruxativa	Rua do Cemiterio, 1,	-1.711.111	-39.185	2925501	Greenfield 	2G - 3G - 4G	700 - 850 - 900 - 2100
1000021790	TIM	SP	Maua	VILA ASSIS BRASIL	RUA ULYSSES GUIMARAES, 515,	-23.695.361	-46.464.028	3529401	Rooftop 	2G - 3G - 4G - 5G	700 - 900 - 1800 - 2100 - 2500 - 3500
1000021855	CLARO	PI	Teresina	SAO JOAO	AV JOAO XXIII, 3260, AO LADO DO AABB	-50.819	-42.768	2211001	Greenfield 	2G - 3G - 4G - 5G	850 - 1800 - 2100 - 2500 - 3500
1000021898	CLARO	AL	Maceio	Jacintinho	R ANTONIO JOAQUIM DE OLIVEIRA, S N,	-964.259	-357.228	2704302	Greenfield 	2G - 3G - 4G - 5G	700 - 1800 - 2100 - 2500 - 3500
1000022126	VIVO	GO	Aragarcas	CENTRO	RUA DR. RUBENS C. DE AQUIRRE, 8, RBR-NAO	-1.590.306	-5.224.806	5201702	Greenfield 	2G - 3G - 4G	700 - 850 - 1800 - 2100 - 2500
1000024269	VIVO	SC	Blumenau	Itoupava Norte	RUA PARIS, 281, S N,	-26.884.222	-49.083.392	4202404	Greenfield 	2G - 3G - 4G - 5G	700 - 850 - 1800 - 2100 - 2500 - 3500
1000024293	VIVO	PR	Guarapuava	(vazio)	AVENIDA VEREADOR RUBEM SIQUEIRA RIBAS,S N,SANTA CRUZ, ,	-2.542.194	-5.146.889	4109401	Nao Informada	2G	850
1000024501	TIM	ES	Anchieta	PONTA UBU	RODOVIA ES 060, S N,	-2.077.222	-4.058.333	3200409	Greenfield 	2G - 3G - 4G	700 - 900 - 1800 - 2100
1000025273	CLARO	BA	Vera Cruz	CONCEICAO	ROD BA 001, KM12,5, CONCEICAO (PARAISO DA CONCEICAO, CASA1)	-1.302.336	-386.564	2933208	Greenfield 	2G - 3G - 4G	700 - 1800 - 2100 - 2500
1000025281	CLARO	BA	Salvador	RETIRO	R SAO GONCALO, S N,	-1.295.068	-3.847.184	2927408	Greenfield 	2G - 3G - 4G - 5G	700 - 1800 - 2100 - 2500 - 3500
1000025419	VIVO	BA	Campo Alegre de Lourdes	CENTRO	TRAVESSA CORONEL LINDOLFO DIAS, S N,	-951.893	-4.300.599	2905909	Greenfield 	2G - 3G - 4G	700 - 850 - 1800 - 2100 - 2500
1000025427	VIVO	BA	Sento Se	CENTRO	AVENIDA DO CANAL, S N,	-9.742.719	-418.766	2930204	Greenfield Ran Sharing 	2G - 3G - 4G	700 - 850 - 1800 - 2100 - 2500
1000025435	VIVO	BA	Tanhacu	LIDIO PEREIRA	RUA PALMIRA MARIA PEREIRA, S N,	-14.024.369	-41.249.731	2931004	Greenfield 	2G - 3G - 4G	700 - 850 - 1800 - 2100 - 2500
1000025443	VIVO	BA	Tremedal	CENTRO	AVENIDA JOAQUIM FERRAZ DE ARAUJO, S N,	-14.973	-414.045	2931806	Greenfield 	2G - 3G - 4G	700 - 850 - 1800 - 2100
1000025516	TIM	MG	Mathias Lobato	CENTRO	AVENIDA GOVERNADOR MAGALHAES PINTO, S N,	-1.857.611	-4.190.667	3171501	Greenfield 	2G - 3G - 4G	700 - 850 - 900 - 1800
1000026652	VIVO	ES	Guarapari	ZONA RURAL	RODOVIA DO CONTORNO KM 585, S N,	-20.678.761	-4.056.515	3202405	Nao Informada	2G - 3G - 4G	700 - 850
1000027527	TIM	BA	Salvador	CAMINHO DAS ARVORES	AVENIDA TANCREDO NEVES, 2915, EM FRENTE AO HOSPITAL SARAH	-12.977.917	-38.455.528	2927408	Indoor 	2G - 3G - 4G - 5G	700 - 850 - 1800 - 2100 - 2500 - 3500
