Número Estação;Operadora;SiglaUf;MUN;Bairro;Logradouro;Latitude;Longitude;IBGE;ClassInfraFisica;Tecs;Faixa
686842588;CLARO;RJ;Sumidouro;AREAL;R TORRES LIMA, S/N, SÍTIO NOSSO SONHO - CENTRO;-22.0513;-42.6749;3305703;;2G 3G 4G ;850 900 1800 2500 
686842685;CLARO;SP;Cotia;GRANJA VIANA II;R JOSÉ GIORGI, 1370, ;-23.58586;-46.86942;3513009;Greenfield ;2G 3G 4G 5G ;700 850 900 1800 2100 2500 3500 
686842910;VIVO;MG;Uberlândia;Marta Helena;AVENIDA COMENDADOR ALEXANDRINO GARCIA, S/N, ;-18.87333;-48.26194;3170206;;2G 3G 4G 5G ;700 900 1800 2100 2500 3500 
686843177;VIVO;BA;Porto Seguro;PORTO SEGURO;RUA JEQUITIBÁ Nº 120, ARRAIAL DAJUDA, S/N, ;-16.493028;-39.073167;2925303;Greenfield ;2G 3G 4G 5G ;700 850 1800 2100 2500 3500 
686843185;VIVO;MG;Moema;CENTRO;RUA TAMOIOS, 275, ;-19.84444;-45.41278;3142403;Greenfield ;2G 3G 4G ;700 900 1800 2100 2500 
686844653;CLARO;ES;Pancas;NOSSA SENHORA DAS GRACAS;R JOSE AUGUSTO DA SILVA, S/N, N/A;-19.22663;-40.84702;3204005;;2G 3G 4G ;850 1800 2100 
686870280;TIM;MA;São José de Ribamar;-;Avenida Paraíso  72 Esq Com Alameda Açailândia Alemanha Sao Luis, S/N, -;-2.572139;-44.182889;2111201;;2G 3G 4G ;700 900 1800 2100 2500 
686870980;VIVO;CE;Fortaleza;ALAGADIÇO;RUA MENDES GUIMARÃES, 707, ;-3.73556;-38.57056;2304400;Greenfield ;2G 3G 4G ;1800 2100 2500 
686871189;VIVO;CE;Fortaleza;PARQUELANDIA;RUA ERICO MOTA, 1060, ESQUINA COM RUA CÉSAR FONTENELE;-3.74639;-38.56083;2304400;Greenfield ;2G 3G 4G ;1800 2100 2500 
686871200;VIVO;CE;Fortaleza;-;RUA  SOLON PINHEIRO, 760. CENTRO, , ;-3.73694;-38.52833;2304400;Greenfield ;2G 4G ;1800 
686871235;VIVO;CE;Fortaleza;MEIRELES;RUA  TIBURCIO CAVALCANTE, 1222, ED. PORTO VITORIA;-3.73556;-38.50278;2304400;Rooftop ;2G 3G 4G ;1800 2100 
686871251;VIVO;CE;Maranguape;LADEIRA GRANDE;Rua Francisco Honorio de Abreu, S/N, Sitio Cacimbao;-3.98833;-38.72444;2307700;;2G 3G 4G ;900 1800 2100 
686871324;VIVO;CE;Fortaleza;PARANGABA;RUA ARARIPE PRATA, 221, A;-3.77472;-38.56917;2304400;Greenfield ;2G 3G 4G ;1800 2100 2500 
686871707;VIVO;PA;Belém;TELÉGRAFO SEM FIO;RODOVIA ARTUR BERNARDES, 1314, RBR-NÃO;-1.41722;-48.4925;1501402;Greenfield ;2G 3G 4G 5G ;700 850 1800 2500 3500 
